city,county,population,land_size,medium_income,per_capita_income,no_stations,mile
Westminster,Orange,90911,10.04,80271,33824,1,1
Yorba Linda,Orange,68336,19.95,148325,64265,2,2
San Francisco,San Francisco,873965,46.91,136689,86186,4,3
Alameda,Alameda,78280,10.45,129917,68122,1,0
Albany,Alameda,20271,1.79,124469,65976,0,0
Berkeley,Alameda,124321,10.43,104716,63310,0,0
Dublin,Alameda,72589,15.23,191039,76941,3,3
Emeryville,Alameda,12905,1.27,114345,83173,2,2
Fremont,Alameda,230504,78.31,169023,68357,5,4
Hayward,Alameda,162954,45.82,105371,42311,2,2
Livermore,Alameda,87955,26.45,152590,67965,2,2
Newark,Alameda,47529,13.92,159465,62417,2,2
Oakland,Alameda,440646,55.93,94389,56628,2,2
Piedmont,Alameda,11270,1.7,250000,139921,0,0
Pleasanton,Alameda,79871,24.14,181639,83240,2,2
San Leandro,Alameda,91008,13.32,97141,45010,1,1
Union City,Alameda,70143,19.18,138013,52646,1,0
Antioch,Contra Costa,115291,29.17,90709,37508,1,1
Brentwood,Contra Costa,64292,14.87,134689,53655,1,1
Clayton,Contra Costa,11070,3.84,164899,75862,0,0
Concord,Contra Costa,125410,30.55,107789,48628,2,2
El Cerrito,Contra Costa,25962,3.67,120414,67881,1,1
Hercules,Contra Costa,26016,6.41,125880,52818,0,0
Lafayette,Contra Costa,25391,15.02,219250,111213,0,0
Martinez,Contra Costa,37287,12.63,124669,61048,1,1
Oakley,Contra Costa,43357,15.87,120915,41163,0,0
Orinda,Contra Costa,19514,12.85,250000,141683,0,0
Pinole,Contra Costa,19022,5.1,113630,49738,0,0
Pittsburg,Contra Costa,76416,17.68,98408,36333,0,0
Pleasant Hill,Contra Costa,34613,7.08,137685,64672,0,0
Richmond,Contra Costa,116448,30.05,86618,38522,2,2
San Pablo,Contra Costa,32127,2.62,72552,27043,0,0
San Ramon,Contra Costa,84605,18.69,190829,77696,3,3
Walnut Creek,Contra Costa,70127,19.76,129971,80347,3,1
Belmont,San Mateo,28335,4.63,185944,92904,0,0
Brisbane,San Mateo,4756,3,137583,101760,0,0
Burlingame,San Mateo,31386,4.39,165940,90326,1,1
Daly City,San Mateo,104901,7.64,114910,46581,2,2
East Palo Alto,San Mateo,30034,2.53,103248,37736,2,2
Foster City,San Mateo,33805,3.79,191267,91552,0,0
Half Moon Bay,San Mateo,11795,6.24,148702,79985,0,0
Menlo Park,San Mateo,33780,9.99,198273,113716,1,0
Millbrae,San Mateo,23216,3.27,146649,71386,0,0
Pacifica,San Mateo,38640,12.58,151849,66531,0,0
Redwood City,San Mateo,84292,19.34,145620,77982,0,0
San Bruno,San Mateo,43908,5.49,131669,57984,2,2
San Carlos,San Mateo,30722,5.41,219413,113618,1,1
San Mateo,San Mateo,105661,12.13,149152,78990,7,7
South San Francisco,San Mateo,66105,9.2,127062,58031,1,1
Campbell,Santa Clara,43959,6.08,141794,77923,0,0
Cupertino,Santa Clara,60381,11.33,223667,99138,2,2
Gilroy,Santa Clara,59520,16.54,127391,44660,2,2
Los Altos,Santa Clara,31625,6.54,250000,142219,1,1
Milpitas,Santa Clara,80273,13.48,166769,61826,3,3
Monte Sereno,Santa Clara,3444,1.6,250000,157911,0,0
Morgan Hill,Santa Clara,45483,12.94,152199,62116,1,1
Mountain View,Santa Clara,82376,11.96,174156,102077,1,1
Palo Alto,Santa Clara,68572,24.1,214118,117476,2,2
San Jose,Santa Clara,1013240,178.26,136010,59913,9,8
Santa Clara,Santa Clara,127647,18.28,165352,78084,1,1
Saratoga,Santa Clara,31051,12.78,237730,116925,0,0
Sunnyvale,Santa Clara,155805,22.06,174506,89432,2,2
Carlsbad,San Diego,114746,37.77,134139,66944,3,1
Chula Vista,San Diego,275487,49.64,101984,37618,3,3
Coronado,San Diego,20192,7.81,125558,72266,0,0
Del Mar,San Diego,3956,1.7,185335,135828,0,0
El Cajon,San Diego,106215,14.51,64128,29639,0,0
Encinitas,San Diego,62007,19.06,142506,77874,0,0
Escondido,San Diego,151038,37.35,77554,35338,0,0
Imperial Beach,San Diego,26137,4.29,75731,33164,0,0
La Mesa,San Diego,61121,9.09,83649,44185,1,1
Lemon Grove,San Diego,27627,3.88,77833,33270,0,0
National City,San Diego,56173,7.3,59850,25574,0,0
Oceanside,San Diego,174068,41.27,86701,40131,0,0
Poway,San Diego,48841,39.08,135605,58325,0,0
San Diego,San Diego,1386932,325.88,98657,51368,14,8
San Marcos,San Diego,94833,24.36,99413,42194,1,1
Santee,San Diego,60037,16.54,101777,42749,0,0
Solana Beach,San Diego,12941,3.41,137647,86222,1,1
Vista,San Diego,98381,18.75,88715,37194,2,2
Banning,Riverside,29505,23.24,54083,28951,0,0
Beaumont,Riverside,53036,30.32,102469,35794,2,2
Blythe,Riverside,18317,26.58,52377,18085,0,0
Calimesa,Riverside,10026,14.86,74236,34901,1,1
Canyon Lake,Riverside,11082,3.92,120938,58583,0,0
Cathedral City,Riverside,51493,22.49,63209,34807,1,0
Coachella,Riverside,41941,30.08,52466,23962,0,0
Corona ,Riverside,157136,39.94,103727,38353,1,1
Desert Hot Springs,Riverside,32512,30.27,45863,23453,0,0
Eastvale,Riverside,69757,12.67,151615,43311,1,1
Hemet,Riverside,89833,29.28,49901,26043,0,0
Indian Wells,Riverside,4852,14.3,132479,127143,0,0
Indio,Riverside,89137,33.23,68436,33852,1,1
Jurupa Valley,Riverside,105053,42.94,91562,28723,0,0
Lake Elsinore,Riverside,70265,38.24,89788,32792,2,2
La Quinta,Riverside,37558,35.26,92776,58577,0,0
Menifee,Riverside,102527,46.48,87871,35682,2,2
Moreno Valley,Riverside,208634,51.33,82637,26861,1,1
Murrieta,Riverside,110949,33.61,106925,40950,1,1
Norco,Riverside,26316,13.86,120636,40311,0,0
Palm Desert,Riverside,51163,26.81,75691,55369,0,0
Palm Springs,Riverside,44575,94.55,67451,62030,1,0
Perris,Riverside,78700,31.53,78352,24084,1,1
Rancho Mirage,Riverside,16999,25.35,105557,86546,1,1
Riverside,Riverside,314998,81.23,83448,31632,2,2
San Jacinto,Riverside,53898,25.96,73682,24560,0,0
Temecula,Riverside,110003,37.27,111881,42562,3,3
Wildomar,Riverside,36875,23.7,89912,34607,0,0
Citrus Heights,Sacramento,87583,14.22,75022,35722,0,0
Elk Grove,Sacramento,176124,41.99,115864,42764,2,1
Folsom,Sacramento,80454,27.88,134935,56541,2,2
Galt,Sacramento,25383,7.15,85069,34857,0,0
Isleton,Sacramento,538,0.4,52321,28452,0,0
Rancho Cordova,Sacramento,79332,34.57,85099,36124,0,0
Sacramento,Sacramento,524943,98.61,78954,39336,5,5
Clovis,Fresno,120124,25.42,98554,41909,1,1
Coalinga,Fresno,17590,6.85,68976,23456,2,2
Firebaugh,Fresno,8096,3.52,36078,13768,1,1
Fowler,Fresno,6700,2.53,56410,26623,0,0
Fresno,Fresno,542107,115.18,63001,29293,4,4
Huron,Fresno,6206,1.6,43664,15783,0,0
Kerman,Fresno,16016,3.27,53956,21308,0,0
Kingsburg,Fresno,12380,3.72,74897,32155,0,0
Mendota,Fresno,12595,3.39,43315,12850,0,0
Orange Cove,Fresno,9649,1.79,33671,12306,0,0
Parlier,Fresno,14576,2.41,50026,17566,0,0
Reedley,Fresno,25227,5.51,61629,22826,0,0
San Joaquin,Fresno,779233,1392.37,82837,33870,0,0
Sanger,Fresno,26617,5.77,69333,24460,0,0
Selma,Fresno,24674,5.81,53874,21714,1,1
Buellton,Santa Barbara,5161,1.58,102361,47903,1,1
Carpinteria,Santa Barbara,13264,2.59,103879,52303,0,0
Goleta,Santa Barbara,32690,7.85,113889,49259,1,1
Guadalupe,Santa Barbara,8057,1.31,66026,20314,0,0
Lompoc,Santa Barbara,44444,11.62,66947,27387,1,1
Santa Barbara,Santa Barbara,88665,19.51,98346,58989,3,3
Santa Maria,Santa Barbara,109707,22.81,81237,25685,1,1
Solvang,Santa Barbara,6126,2.43,108074,65211,0,0
Escalon,San Joaquin,7472,2.28,82563,51355,0,0
Lathrop,San Joaquin,28701,19.83,108732,33980,1,1
Lodi,San Joaquin,66348,13.64,78468,35345,0,0
Manteca,San Joaquin,83498,21.39,89966,36000,2,2
Ripon,San Joaquin,16013,5.33,115583,49400,1,1
Stockton,San Joaquin,320804,62.21,71612,29095,2,2
Tracy,San Joaquin,93000,25.89,111717,40041,1,1
Arvin,Kern,19495,4.82,47997,14900,1,1
Bakersfield,Kern,403455,149.78,73827,31892,4,4
California City,Kern,14973,203.61,55410,23297,0,0
Delano,Kern,51428,14.72,53639,17517,0,0
Maricopa,Kern,1026,1.6,45685,21089,0,0
McFarland,Kern,14161,2.68,42641,14419,0,0
Ridgecrest,Kern,27959,20.86,85872,39623,0,0
Shafter,Kern,19953,38.7,66418,20708,0,0
Taft,Kern,8546,15.27,52414,27539,0,0
Tehachapi,Kern,12939,10.26,62788,23163,0,0
Wasco,Kern,27047,9.39,48109,16256,0,0
Camarillo,Ventura,70741,19.69,105141,52817,0,0
Fillmore,Ventura,16419,3.3,85255,32110,0,0
Moorpark,Ventura,36284,12.28,143218,52673,0,0
Ojai,Ventura,7637,4.36,76569,53663,1,1
Oxnard,Ventura,202063,26.53,90409,28845,1,1
Port Hueneme,Ventura,21954,4.42,71695,30857,0,0
Santa Paula,Ventura,30657,5.53,72014,27867,0,0
Simi Valley,Ventura,126356,41.55,112144,51324,1,1
Thousand Oaks,Ventura,126966,55.26,125399,61458,2,2
Ventura,Ventura,110763,21.89,96036,46562,2,2
Ceres,Stanislaus,49302,9.5,70191,24176,0,0
Hughson,Stanislaus,7481,1.91,99449,40898,0,0
Modesto,Stanislaus,218464,43.05,73375,32897,2,2
Newman,Stanislaus,12351,2.06,76520,29532,0,0
Oakdale,Stanislaus,23181,6.23,83110,36622,0,0
Patterson,Stanislaus,23781,7.79,86031,29091,1,1
Riverbank,Stanislaus,24865,4.71,89504,33398,0,0
Turlock,Stanislaus,72740,16.91,74559,33194,1,1
Waterford,Stanislaus,9120,2.36,64349,23587,0,0
